ID,produk,harga,kategori,rating,persediaan,diskon (%),lokasi pengiriman,jumlah pembelian
59,baju tidur motif bunga raflesia,45000,pakaian,4.2,11,10,bandung,13
#N/A
#N/A
62,speaker bluetooth,300000,elektronik,4.6,12,5,surabaya,20
#N/A
64,t shirt pastelblue,80000,pakaian,4.7,9,10,surabaya,11
#N/A
#N/A
67,earphone sport,100000,elektronik,4.5,15,5,surabaya,19
#N/A
69,blouse,90000,pakaian,4.9,7,10,bandung,8
#N/A
#N/A
#N/A
73,powerbank slim,120000,elektronik,4.7,6,5,bandung,9
74,serum hyaluronic acid,40000,aksesoris dan kecantikan,4.6,15,10,jakarta,12
#N/A
76,topi trucker,50000,aksesoris dan kecantikan,4.8,12,5,bandung,14
#N/A
#N/A
79,speaker mini portable,150000,elektronik,4.5,7,5,bandung,18
80,kacamata anti radiasi,100000,aksesoris dan kecantikan,4.7,10,10,jakarta,20
#N/A
82,lip gloss,25000,aksesoris dan kecantikan,4.7,14,5,bandung,16
#N/A
#N/A
85,celana training,150000,pakaian,4.5,8,10,bandung,10
#N/A
#N/A
88,topi fedora,70000,aksesoris dan kecantikan,4.2,13,5,bandung,20
#N/A
#N/A
#N/A
#N/A
#N/A
94,keyboard mechanical,400000,elektronik,4.6,6,5,bandung,7
95,celana panjang jogger,180000,pakaian,4.3,8,10,jakarta,11
#N/A
#N/A
98,dompet kartu,60000,aksesoris dan kecantikan,4.2,11,5,surabaya,22
#N/A
#N/A
101,speaker mini bluetooth,120000,elektronik,4.5,7,5,bandung,20
#N/A
#N/A
104,serum brightening,75000,aksesoris dan kecantikan,4.3,10,10,bandung,15
#N/A
#N/A
107,blouse batik,100000,pakaian,4.8,13,5,bandung,18
#N/A
#N/A
110,kacamata retro,80000,aksesoris dan kecantikan,4.5,11,10,bandung,20
#N/A
#N/A
113,tas clutch,50000,aksesoris dan kecantikan,4.3,12,5,bandung,22
#N/A
#N/A
#N/A
117,earphone gaming,180000,elektronik,4.7,8,5,bandung,11
#N/A
#N/A
120,serum anti aging,85000,aksesoris dan kecantikan,4.6,11,10,bandung,23
121,mouse bluetooth rgb ,300000,elektronik,4.9,30,0,jakarta,8
#N/A
123,gaun pengantin,1500000,pakaian,4.7,6,5,bandung,7
#N/A
#N/A
126,topi bowler,70000,aksesoris dan kecantikan,4.8,13,5,bandung,15
#N/A
#N/A
129,speaker portable bluetooth,250000,elektronik,4.7,8,5,bandung,11
#N/A
#N/A
#N/A
133,tas serut babyblue,40000,aksesoris dan kecantikan,4.3,10,5,bandung,22
134,mouse gaming wireless neon,350000,elektronik,4.8,59,0,surabaya,10
#N/A
#N/A
137,headphone bluetooth,200000,elektronik,4.7,8,5,bandung,11
#N/A
#N/A
140,serum brightening,80000,aksesoris dan kecantikan,4.6,11,10,bandung,23
#N/A
#N/A
143,gaun pesta,1200000,pakaian,4.7,6,5,bandung,7
#N/A
#N/A
146,topi fedora,60000,aksesoris dan kecantikan,4.8,13,5,bandung,15
#N/A
148,mascara waterproof,55000,aksesoris dan kecantikan,4.9,12,10,surabaya,20
149,speaker portable bluetooth,270000,elektronik,4.7,8,5,bandung,11
150,kacamata retro,95000,aksesoris dan kecantikan,4.5,10,0,jakarta,14
